Cluster Index,flow_ID,Cluster,Device Name,Flow Key
1,udp_1,132,360-camera_selfdata,"(('192.168.1.123', 34419), ('36.110.233.170', 80), 17, -4487607195269530185)"
2,udp_2,132,360-camera_selfdata,"(('192.168.1.123', 34419), ('36.110.214.15', 80), 17, -4487607195269530185)"
3,udp_3,132,360-camera_selfdata,"(('192.168.1.123', 34419), ('42.236.20.217', 80), 17, -4487607195269530185)"
4,udp_4,132,360-camera_selfdata,"(('192.168.1.123', 34419), ('42.236.20.205', 80), 17, -4487607195269530185)"
5,udp_5,132,360-camera_selfdata,"(('192.168.1.123', 34419), ('221.130.199.132', 80), 17, -4487607195269530185)"
6,udp_6,132,360-camera_selfdata,"(('192.168.1.123', 34419), ('221.130.199.193', 80), 17, -4487607195269530185)"
7,udp_7,92,360-camera_selfdata,"(('192.168.1.123', 34419), ('36.110.214.15', 443), 17, -4487607195269530185)"
8,udp_8,608,360-camera_selfdata,"(('101.199.129.76', 80), ('192.168.1.123', 38170), 17, -4487607195269530185)"
9,udp_9,80,360-camera_selfdata,"(('140.206.78.244', 80), ('192.168.1.123', 38170), 17, -4487607195269530185)"
10,udp_10,80,360-camera_selfdata,"(('123.6.45.11', 80), ('192.168.1.123', 38170), 17, -4487607195269530185)"
11,udp_11,578,360-camera_selfdata,"(('14.144.15.178', 5174), ('192.168.1.123', 34419), 17, -4487607195269530185)"
12,udp_12,578,360-camera_selfdata,"(('1.204.57.126', 29722), ('192.168.1.123', 34419), 17, -4487607195269530185)"
13,udp_13,276,360-camera_selfdata,"(('192.168.1.123', 34419), ('39.154.8.207', 6594), 17, -4487607195269530185)"
14,udp_14,927,360-camera_selfdata,"(('192.168.1.123', 34419), ('36.143.153.128', 24581), 17, -4487607195269530185)"
15,udp_15,89,360-camera_selfdata,"(('106.115.82.116', 28674), ('192.168.1.123', 34419), 17, -4487607195269530185)"
16,udp_16,147,360-camera_selfdata,"(('192.168.1.123', 34419), ('36.4.61.45', 7246), 17, -4487607195269530185)"
17,udp_17,147,360-camera_selfdata,"(('192.168.1.123', 34419), ('223.73.9.12', 2715), 17, -4487607195269530185)"
18,udp_18,585,360-camera_selfdata,"(('117.179.160.194', 2560), ('192.168.1.123', 34419), 17, -4487607195269530185)"
19,udp_19,464,360-camera_selfdata,"(('192.168.1.123', 34419), ('223.104.228.31', 47354), 17, -4487607195269530185)"
20,udp_20,578,360-camera_selfdata,"(('175.7.144.8', 64980), ('192.168.1.123', 34419), 17, -4487607195269530185)"
21,udp_21,276,360-camera_selfdata,"(('192.168.1.123', 34419), ('49.118.253.94', 5175), 17, -4487607195269530185)"
22,udp_22,702,360-camera_selfdata,"(('192.168.1.123', 34419), ('218.10.157.34', 50184), 17, -4487607195269530185)"
23,udp_23,578,360-camera_selfdata,"(('120.82.83.157', 29657), ('192.168.1.123', 34419), 17, -4487607195269530185)"
24,udp_24,543,360-camera_selfdata,"(('123.181.25.237', 11264), ('192.168.1.123', 34419), 17, -4487607195269530185)"
25,udp_25,926,360-camera_selfdata,"(('192.168.1.123', 34419), ('58.45.40.189', 20902), 17, -4487607195269530185)"
26,udp_26,578,360-camera_selfdata,"(('110.52.41.89', 26431), ('192.168.1.123', 34419), 17, -4487607195269530185)"
27,udp_27,89,360-camera_selfdata,"(('110.52.161.8', 11471), ('192.168.1.123', 34419), 17, -4487607195269530185)"
28,udp_28,578,360-camera_selfdata,"(('112.22.11.219', 5073), ('192.168.1.123', 34419), 17, -4487607195269530185)"
29,udp_29,276,360-camera_selfdata,"(('192.168.1.123', 34419), ('39.190.103.122', 9734), 17, -4487607195269530185)"
30,udp_30,583,360-camera_selfdata,"(('192.168.1.123', 34419), ('60.5.91.104', 64321), 17, -4487607195269530185)"
31,udp_31,276,360-camera_selfdata,"(('192.168.1.123', 34419), ('221.5.40.87', 10368), 17, -4487607195269530185)"
32,udp_32,89,360-camera_selfdata,"(('183.210.111.76', 16710), ('192.168.1.123', 34419), 17, -4487607195269530185)"
33,udp_33,1026,360-camera_selfdata,"(('106.113.18.240', 25617), ('192.168.1.123', 34419), 17, -4487607195269530185)"
34,udp_34,147,360-camera_selfdata,"(('192.168.1.123', 34419), ('42.236.218.194', 48947), 17, -4487607195269530185)"
35,udp_35,1026,360-camera_selfdata,"(('110.52.2.93', 20336), ('192.168.1.123', 34419), 17, -4487607195269530185)"
36,udp_36,578,360-camera_selfdata,"(('114.101.67.35', 34275), ('192.168.1.123', 34419), 17, -4487607195269530185)"
37,udp_37,89,360-camera_selfdata,"(('116.232.26.188', 55490), ('192.168.1.123', 34419), 17, -4487607195269530185)"
38,udp_38,701,360-camera_selfdata,"(('192.168.1.123', 34419), ('42.229.76.43', 11288), 17, -4487607195269530185)"
39,udp_39,89,360-camera_selfdata,"(('183.198.102.176', 35840), ('192.168.1.123', 34419), 17, -4487607195269530185)"
40,udp_40,953,Allure-speaker_Mon,"(('192.168.20.132', 5353), ('224.0.0.251', 5353), 17, 3780589867059189442)"
41,udp_41,789,Allure-speaker_Mon,"(('192.168.20.132', 56831), ('239.255.255.250', 1900), 17, 3780589867059189442)"
42,udp_42,1027,Allure-speaker_Mon,"(('192.168.20.132', 33284), ('239.255.255.250', 1900), 17, 3780589867059189442)"
43,udp_43,639,Allure-speaker_Mon,"(('192.168.20.132', 48781), ('239.255.255.250', 1900), 17, 3780589867059189442)"
44,udp_44,952,Allure-speaker_Mon,"(('192.168.20.132', 51293), ('239.255.255.250', 1900), 17, 3780589867059189442)"
45,udp_45,952,Allure-speaker_Mon,"(('192.168.20.132', 40811), ('239.255.255.250', 1900), 17, 3780589867059189442)"
46,udp_46,639,Allure-speaker_Mon,"(('192.168.20.132', 50011), ('239.255.255.250', 1900), 17, 3780589867059189442)"
47,udp_47,639,Allure-speaker_Mon,"(('192.168.20.132', 54215), ('239.255.255.250', 1900), 17, 3780589867059189442)"
48,udp_48,301,Allure-speaker_Mon,"(('192.168.20.132', 123), ('51.140.127.197', 123), 17, 3780589867059189442)"
49,udp_49,301,Allure-speaker_Mon,"(('192.168.20.132', 123), ('51.141.32.51', 123), 17, 3780589867059189442)"
50,udp_50,301,Allure-speaker_Mon,"(('192.168.20.132', 123), ('203.107.6.88', 123), 17, 3780589867059189442)"
51,udp_51,37,Amazon Echo Look_Our,"(('192.168.1.134', 5353), ('224.0.0.251', 5353), 17, -7633892932538731030)"
52,udp_52,141,Amazon Echo Look_Our,"(('18.205.68.150', 123), ('192.168.1.134', 49165), 17, -7633892932538731030)"
53,udp_53,415,Amazon Echo Look_Our,"(('192.168.1.134', 47775), ('216.126.233.109', 123), 17, -7633892932538731030)"
54,udp_54,54,Amazon Echo Look_Our,"(('192.168.1.134', 5353), ('224.0.0.251', 5353), 17, -1921233887002277290)"
55,udp_55,486,Amazon Echo Look_Our,"(('18.205.68.150', 123), ('192.168.1.134', 33016), 17, -1921233887002277290)"
56,udp_56,200,Amazon Echo Look_Our,"(('192.168.1.134', 53706), ('204.93.207.12', 123), 17, -1921233887002277290)"
57,udp_57,142,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 50000), ('239.255.255.250', 1900), 17, -6854538356613311020)"
58,udp_58,775,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 5353), ('224.0.0.251', 5353), 17, -6854538356613311020)"
59,udp_59,226,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 34817), ('3.234.38.31', 123), 17, -6854538356613311020)"
60,udp_60,415,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 51090), ('72.30.35.88', 123), 17, -6854538356613311020)"
61,udp_61,223,Amazon Echo Plus 2nd Gen_Our,"(('138.236.128.36', 123), ('192.168.1.125', 52425), 17, -6854538356613311020)"
62,udp_62,141,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 51233), ('34.226.24.249', 123), 17, -6854538356613311020)"
63,udp_63,843,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 50000), ('239.255.255.250', 1900), 17, 5965110955724322220)"
64,udp_64,360,Amazon Echo Plus 2nd Gen_Our,"(('192.168.1.125', 5353), ('224.0.0.251', 5353), 17, 5965110955724322220)"
65,udp_65,301,Amazon Echo_UNSW,"(('192.168.1.240', 55872), ('204.11.201.12', 123), 17, 4872011131246797298)"
66,udp_66,196,Amazon Echo_UNSW,"(('192.168.1.240', 49280), ('23.23.189.20', 33434), 17, 4872011131246797298)"
67,udp_67,196,Amazon Echo_UNSW,"(('192.168.1.240', 47532), ('23.23.189.20', 33434), 17, 4872011131246797298)"
68,udp_68,301,Amazon Echo_UNSW,"(('107.170.224.8', 123), ('192.168.1.240', 59788), 17, 4872011131246797298)"
69,udp_69,301,Amazon Echo_UNSW,"(('192.168.1.240', 40627), ('97.107.128.58', 123), 17, 4872011131246797298)"
70,udp_70,301,Amazon Echo_UNSW,"(('192.168.1.240', 42921), ('72.21.192.213', 123), 17, 4872011131246797298)"
71,udp_71,301,Amazon Echo_UNSW,"(('132.163.4.101', 123), ('192.168.1.240', 39552), 17, 4872011131246797298)"
